model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1893,16,2.973479417635e-03,7.237122001951e-02,1.232560428205e-01,2.675385609228e-03,1.947323761073e-04,1.526956881580e+01,1.111420876071e+00,4.804619584090e-02,1,1,1,9.002902417747e-02,5.440946749067e-02,6.842702403198e-03,1.462460106107e-03,4.446987163144e-03,9.504346287847e-04,2.256014870905e-03,4.821679437558e-04,1.489734909781e-03,3.183943631993e-04,8.881784197001e-16,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,5.043447232700e-02,9.944367176634e-01,8.015387292138e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1894,16,2.972874286525e-03,7.235603996106e-02,1.232350203522e-01,2.674424826279e-03,1.946576026126e-04,1.527232559440e+01,1.111593886399e+00,4.803869791879e-02,1,1,1,8.998987865192e-02,5.442506981118e-02,6.841098192838e-03,1.461784853123e-03,4.445803707494e-03,9.499656833422e-04,2.256169602244e-03,4.820913920061e-04,1.489455492758e-03,3.182622756378e-04,1.332267629550e-15,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,5.041776727129e-02,9.944367176634e-01,8.014714146197e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1895,16,2.972269476698e-03,7.234086802432e-02,1.232140086664e-01,2.673464780814e-03,1.945828936682e-04,1.527508107555e+01,1.111766834569e+00,4.803120410278e-02,1,1,1,8.995076426324e-02,5.444068363213e-02,6.839494705541e-03,1.461110187337e-03,4.444620943545e-03,9.494971805748e-04,2.256323927448e-03,4.820148297880e-04,1.489176197251e-03,3.181303014654e-04,1.776356839400e-15,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,5.040107502548e-02,9.944367176634e-01,8.014041827307e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1896,16,2.971664987896e-03,7.232570420283e-02,1.231930077549e-01,2.672505471972e-03,1.945082491869e-04,1.527783526055e+01,1.111939720633e+00,4.802371438690e-02,1,1,1,8.991168097865e-02,5.445630891126e-02,6.837891941179e-03,1.460436108045e-03,4.443438870544e-03,9.490291198308e-04,2.256477847028e-03,4.819382571634e-04,1.488897023178e-03,3.179984405305e-04,8.881784197001e-16,4.440892098501e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,5.038439557367e-02,9.944367176634e-01,8.013370334234e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1897,16,2.971060819859e-03,7.231054849011e-02,1.231720176096e-01,2.671546898895e-03,1.944336690816e-04,1.528058815067e+01,1.112112544642e+00,4.801622876516e-02,1,1,1,8.987262876542e-02,5.447194560645e-02,6.836289899626e-03,1.459762614541e-03,4.442257487739e-03,9.485615004598e-04,2.256631361493e-03,4.818616741939e-04,1.488617970457e-03,3.178666926817e-04,8.881784197001e-16,4.440892098501e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,5.036772889996e-02,9.944367176634e-01,8.012699665747e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1898,16,2.970456972332e-03,7.229540087969e-02,1.231510382224e-01,2.670589060723e-03,1.943591532654e-04,1.528333974719e+01,1.112285306646e+00,4.800874723160e-02,1,1,1,8.983360759084e-02,5.448759367571e-02,6.834688580755e-03,1.459089706121e-03,4.441076794379e-03,9.480943218128e-04,2.256784471351e-03,4.817850809407e-04,1.488339039006e-03,3.177350577681e-04,1.332267629550e-15,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,1.776356839400e-15,5.035107498851e-02,9.944367176634e-01,8.012029820618e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1899,16,2.969853445055e-03,7.228026136512e-02,1.231300695850e-01,2.669631956600e-03,1.942847016515e-04,1.528609005141e+01,1.112458006697e+00,4.800126978025e-02,1,1,1,8.979461742223e-02,5.450325307718e-02,6.833087984436e-03,1.458417382083e-03,4.439896789714e-03,9.476275832422e-04,2.256937177112e-03,4.817084774652e-04,1.488060228744e-03,3.176035356387e-04,8.881784197001e-16,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,5.033443382348e-02,9.944367176634e-01,8.011360797620e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1900,16,2.969250237771e-03,7.226512993993e-02,1.231091116895e-01,2.668675585670e-03,1.942103141532e-04,1.528883906459e+01,1.112630644847e+00,4.799379640517e-02,1,1,1,8.975565822696e-02,5.451892376914e-02,6.831488110540e-03,1.457745641724e-03,4.438717472996e-03,9.471612841014e-04,2.257089479280e-03,4.816318638283e-04,1.487781539590e-03,3.174721261430e-04,1.332267629550e-15,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,5.031780538906e-02,9.944367176634e-01,8.010692595530e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1901,16,2.968647350224e-03,7.225000659767e-02,1.230881645275e-01,2.667719947080e-03,1.941359906842e-04,1.529158678801e+01,1.112803221145e+00,4.798632710044e-02,1,1,1,8.971672997242e-02,5.453460571000e-02,6.829888958936e-03,1.457074484343e-03,4.437538843479e-03,9.466954237456e-04,2.257241378363e-03,4.815552400912e-04,1.487502971461e-03,3.173408291308e-04,8.881784197001e-16,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,1.776356839400e-15,5.030118966950e-02,9.944367176634e-01,8.010025213126e-02,9.805013927577e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1902,16,2.968044782155e-03,7.223489133190e-02,1.230672280912e-01,2.666765039976e-03,1.940617311581e-04,1.529433322295e+01,1.112975735643e+00,4.797886186014e-02,1,1,1,8.967783262603e-02,5.455029885831e-02,6.828290529492e-03,1.456403909242e-03,4.436360900416e-03,9.462300015308e-04,2.257392874867e-03,4.814786063147e-04,1.487224524275e-03,3.172096444520e-04,8.881784197001e-16,4.440892098501e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,5.028458664902e-02,9.944367176634e-01,8.009358649190e-02,9.805013927577e-01
