model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
logreg,iid,sgd,krum,1,0.000000000000e+00,153,16,1.695047590888e-02,4.250727013650e-01,5.656755078020e-01,2.403841323427e-02,1.019102239061e-02,1.663275308324e+00,7.051412147586e-01,2.831719829063e-01,6,6,1,3.241938086851e+00,5.135303868591e-02,4.783992827282e-02,1.624165438586e-02,3.243153032301e-02,1.101050368861e-02,1.555078842009e-02,5.279492258146e-03,8.273496064303e-03,2.808851695447e-03,6.661338147751e-16,2.220446049250e-16,6.661338147751e-16,0.000000000000e+00,4.440892098501e-16,2.517299395852e-01,9.290681502086e-01,2.903348996492e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,154,16,1.680160452149e-02,4.208782782139e-01,5.415683815464e-01,2.379504192691e-02,1.012706228375e-02,1.659079805250e+00,7.060968656031e-01,2.909015614964e-01,6,6,1,3.191406842374e+00,4.262994991888e-02,4.717219602189e-02,1.598026772706e-02,2.834533831058e-02,9.602395758867e-03,1.529279482439e-02,5.180656746938e-03,8.691442908559e-03,2.944352740092e-03,4.440892098501e-16,4.440892098501e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.515733335710e-01,9.290681502086e-01,2.901501437989e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,155,16,1.661653126972e-02,4.163183100507e-01,5.446031527118e-01,2.350185705766e-02,9.955020295154e-03,1.669160963721e+00,7.070305648168e-01,2.884095775110e-01,6,6,1,3.107196204241e+00,7.959814165661e-02,4.558947371793e-02,1.541198025254e-02,3.389532659978e-02,1.145865616790e-02,1.477795449357e-02,4.995836193176e-03,8.442428962623e-03,2.854048047593e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.514035408918e-01,9.290681502086e-01,2.901054862435e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,156,16,1.683504378388e-02,4.210787320692e-01,5.642620871283e-01,2.377923098901e-02,1.001629811147e-02,1.680765048777e+00,7.079725913620e-01,3.141804942507e-01,6,6,1,3.146385897727e+00,9.327751397742e-02,4.636351307401e-02,1.565829589571e-02,3.120595852744e-02,1.053915244843e-02,1.389034190723e-02,4.691169181439e-03,7.927660546673e-03,2.677399669917e-03,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.514925669256e-01,9.290681502086e-01,2.900476350489e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,157,16,1.670598359565e-02,4.185324073732e-01,5.596090434397e-01,2.356616576050e-02,9.927541346718e-03,1.682791641173e+00,7.088969739682e-01,2.977576611145e-01,6,6,1,3.143408149029e+00,8.977317193224e-02,4.747543743303e-02,1.601121575943e-02,3.166930609968e-02,1.068055652207e-02,1.436944740177e-02,4.846133814311e-03,8.517943091749e-03,2.872698642554e-03,8.881784197001e-16,4.440892098501e-16,6.661338147751e-16,0.000000000000e+00,4.440892098501e-16,2.515868207367e-01,9.290681502086e-01,2.902740765393e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,158,16,1.678765215955e-02,4.200893478205e-01,5.659672295854e-01,2.365064925145e-02,1.007786626884e-02,1.665794297296e+00,7.098178143469e-01,2.977100588303e-01,6,6,1,3.144087940826e+00,8.725027444812e-02,4.658046182148e-02,1.568207925348e-02,3.069839192704e-02,1.033511898184e-02,1.521594980395e-02,5.122699977877e-03,8.318216288218e-03,2.800464443211e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,2.514981794859e-01,9.297635605007e-01,2.903662700805e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,159,16,1.686187572307e-02,4.223134816482e-01,5.602994710986e-01,2.372467565078e-02,9.995433823476e-03,1.686957867048e+00,7.107315594647e-01,2.938391471426e-01,6,6,1,3.173070515555e+00,7.150035994791e-02,4.695959990752e-02,1.578212146163e-02,3.298453137769e-02,1.108539854647e-02,1.537685183778e-02,5.167832432118e-03,8.667122634114e-03,2.912835339394e-03,8.881784197001e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.514315301464e-01,9.297635605007e-01,2.904788697865e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,160,16,1.682886956814e-02,4.218318735671e-01,5.701066179218e-01,2.364746070761e-02,9.970720477614e-03,1.687828839042e+00,7.116565189061e-01,2.978230699920e-01,6,6,1,3.179563884683e+00,7.483309398490e-02,4.684225589647e-02,1.572725929394e-02,3.226098722860e-02,1.083160709305e-02,1.491548923250e-02,5.007866554803e-03,8.572987479876e-03,2.878375399292e-03,8.881784197001e-16,4.440892098501e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.515374359593e-01,9.297635605007e-01,2.904927524566e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,161,16,1.665732625431e-02,4.181498852390e-01,5.412376091078e-01,2.337731757905e-02,9.957980975800e-03,1.672761405630e+00,7.125422409131e-01,3.079940432532e-01,6,6,1,3.111033028792e+00,1.264127459006e-01,4.673475545117e-02,1.565629221429e-02,3.424098027684e-02,1.147083766124e-02,1.490209326433e-02,4.992248798535e-03,8.471007739879e-03,2.837814625212e-03,4.440892098501e-16,2.220446049250e-16,8.881784197001e-16,0.000000000000e+00,8.881784197001e-16,2.513966878905e-01,9.297635605007e-01,2.906555794652e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,162,16,1.673570921611e-02,4.203981504113e-01,5.375378025289e-01,2.345770804047e-02,9.934550081064e-03,1.684596592654e+00,7.134417901033e-01,2.981548077812e-01,6,6,1,3.180643304408e+00,9.504947099159e-02,4.712721473538e-02,1.576769508828e-02,3.073789416083e-02,1.028420087003e-02,1.470998944510e-02,4.921628184998e-03,8.157206300069e-03,2.729215856143e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,6.661338147751e-16,2.513713167318e-01,9.297635605007e-01,2.905449373349e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,163,16,1.668542666984e-02,4.169445114151e-01,5.704147809025e-01,2.335797344229e-02,1.006485501114e-02,1.657791061210e+00,7.143353729321e-01,2.865805160248e-01,6,6,1,3.116072473097e+00,5.860949793565e-02,4.682757676739e-02,1.564903376223e-02,3.340138455669e-02,1.116221318112e-02,1.479815001256e-02,4.945307127791e-03,8.167280220856e-03,2.729375567662e-03,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.512687082607e-01,9.290681502086e-01,2.904061715700e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,164,16,1.677932562607e-02,4.215537903017e-01,5.332556093307e-01,2.346073644613e-02,1.011126697024e-02,1.659468163134e+00,7.152088198338e-01,2.996548009370e-01,6,6,1,3.224469476600e+00,9.709543097278e-02,4.861486976877e-02,1.622733660334e-02,3.304203627438e-02,1.102922310055e-02,1.407687121857e-02,4.698770739737e-03,7.999677033782e-03,2.670241688656e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,2.515085010359e-01,9.290681502086e-01,2.906246567717e-01,9.108635097493e-01
logreg,iid,sgd,krum,1,0.000000000000e+00,165,16,1.659356799401e-02,4.148678577008e-01,5.552380049752e-01,2.317155592817e-02,1.005321998327e-02,1.650572455555e+00,7.161179873051e-01,2.812115383090e-01,6,6,1,3.081170155229e+00,5.065688415376e-02,4.521771784635e-02,1.506454513038e-02,3.264985780644e-02,1.087748961805e-02,1.449831750077e-02,4.830198619201e-03,8.228777736905e-03,2.741465060370e-03,4.440892098501e-16,4.440892098501e-16,6.661338147751e-16,0.000000000000e+00,4.440892098501e-16,2.513015860317e-01,9.297635605007e-01,2.907403744893e-01,9.108635097493e-01
