model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
mlp,iid,sgd,fedavg,2,0.000000000000e+00,242,16,3.498912105673e-03,1.636785600203e-01,2.566629132960e-01,8.894438903696e-03,3.232599508760e-04,1.082383418110e+01,3.933819933508e-01,1.152441302704e-01,10,10,1,3.964623804429e-01,1.424081766050e-01,5.842695109535e-03,2.554519471075e-03,6.386769122721e-03,2.792397305591e-03,3.745133479962e-03,1.637432078345e-03,1.952506823491e-03,8.536671184291e-04,8.881784197001e-16,2.220446049250e-16,2.220446049250e-16,0.000000000000e+00,4.440892098501e-16,1.313704922402e-02,9.986091794159e-01,4.852118536081e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,243,16,3.469219082635e-03,1.625174193882e-01,2.419997472235e-01,8.813619712335e-03,3.138076360754e-04,1.105524112167e+01,3.936202372992e-01,1.146470579691e-01,10,10,1,3.986386345551e-01,1.426410516068e-01,6.276841499874e-03,2.742849304472e-03,6.511808041782e-03,2.845524800748e-03,4.061798745486e-03,1.774921648760e-03,2.016892771330e-03,8.813402306157e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,1.305858087014e-02,9.986091794159e-01,4.860604119556e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,244,16,3.497159313017e-03,1.633707425225e-01,2.631156196060e-01,8.879191661199e-03,3.123860087937e-04,1.119499342023e+01,3.938600997092e-01,1.128308434754e-01,10,10,1,3.957238582659e-01,1.327925089735e-01,6.177204275974e-03,2.697854354787e-03,6.568898483943e-03,2.868924288288e-03,3.847480589522e-03,1.680362474619e-03,2.282082826626e-03,9.966850401472e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,1.298255991764e-02,9.986091794159e-01,4.855255861336e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,245,16,3.513209381648e-03,1.641826343985e-01,2.655607827836e-01,8.914533726903e-03,3.166097372552e-04,1.109634028348e+01,3.940990621916e-01,1.105740035675e-01,10,10,1,4.015575287993e-01,1.141786612925e-01,6.147910611819e-03,2.683386821201e-03,6.631775893453e-03,2.894580152066e-03,4.180358901108e-03,1.824606877263e-03,2.248227906455e-03,9.812870609471e-04,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.291344413067e-02,9.986091794159e-01,4.852373381848e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,246,16,3.408862339447e-03,1.599872038708e-01,2.440433769244e-01,8.644636975474e-03,3.048870453159e-04,1.118073854504e+01,3.943326190699e-01,1.130763168138e-01,10,10,1,3.874220685516e-01,1.272320742328e-01,6.505736775862e-03,2.837945298764e-03,6.625090317986e-03,2.890009935781e-03,4.001360128089e-03,1.745481189203e-03,1.926789208968e-03,8.405077803931e-04,8.881784197001e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.284908661991e-02,9.986091794159e-01,4.844995942955e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,247,16,3.421068590684e-03,1.610928051578e-01,2.413173958690e-01,8.670437577027e-03,3.155113305510e-04,1.084293418151e+01,3.945670054471e-01,1.149236355854e-01,10,10,1,3.953891284126e-01,1.522798143021e-01,6.340646812568e-03,2.764393190082e-03,6.757989681951e-03,2.946346202158e-03,3.851095625672e-03,1.678999451738e-03,1.884533115209e-03,8.216181509813e-04,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.277952757929e-02,9.986091794159e-01,4.843492413251e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,248,16,3.453490270277e-03,1.614792902917e-01,2.518473697103e-01,8.747384514368e-03,3.142507828531e-04,1.098959957688e+01,3.948026138104e-01,1.134605577537e-01,10,10,1,3.825858262056e-01,1.671739479476e-01,5.805380405549e-03,2.529680682155e-03,6.640288918216e-03,2.893490077633e-03,4.039594556284e-03,1.760243704789e-03,2.087211955499e-03,9.094976374574e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,1.270753836694e-02,9.986091794159e-01,4.859266458155e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,249,16,3.503435555326e-03,1.633500696171e-01,2.561827164674e-01,8.868607416109e-03,3.163171243770e-04,1.107570626227e+01,3.950378442688e-01,1.091962610039e-01,10,10,1,3.912092721755e-01,1.485706802418e-01,5.722723751443e-03,2.492447747787e-03,6.554723478432e-03,2.854812931878e-03,3.944512755697e-03,1.717974230641e-03,2.120487856271e-03,9.235471448782e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,1.263112203480e-02,9.986091794159e-01,4.852320042546e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,250,16,3.392707285776e-03,1.593198052028e-01,2.404091503909e-01,8.583272384404e-03,3.070849499137e-04,1.104810667775e+01,3.952696749949e-01,1.121309591289e-01,10,10,1,3.852544375964e-01,1.262249000115e-01,6.381743736048e-03,2.777866180626e-03,7.655506179743e-03,3.332313642141e-03,3.760523627186e-03,1.636892961778e-03,1.896132026862e-03,8.253545189646e-04,4.440892098501e-16,2.220446049250e-16,3.330669073875e-16,0.000000000000e+00,4.440892098501e-16,1.256174526689e-02,9.986091794159e-01,4.847523447159e-02,9.888579387187e-01
mlp,iid,sgd,fedavg,2,0.000000000000e+00,251,16,3.495324256119e-03,1.623869211816e-01,2.803833330398e-01,8.837598321504e-03,3.474055694925e-04,1.006122112903e+01,3.955061238316e-01,1.132050352968e-01,10,10,1,3.859987585857e-01,1.275100911484e-01,6.375471251662e-03,2.774322288813e-03,6.382312216469e-03,2.777299173248e-03,3.540368144261e-03,1.540611174533e-03,2.595290151461e-03,1.129355153356e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,2.220446049250e-16,1.250382824585e-02,9.986091794159e-01,4.852598594983e-02,9.888579387187e-01
