lr,u_norm,min_pair_l2,med_pair_l2,sep_ratio,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,gap_multikrum3,gap_median,gap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed
2.320794416806e-04,1.497476266071e+01,4.906140707550e-05,9.550971546364e-05,3.276272765525e-06,3,3,1,8.310154537492e-08,1.504695779983e-02,8.276002104624e-06,4.215587480649e-06,2.110576204695e-06,1.563390530736e-06,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
1.077217345016e-04,1.497475730313e+01,2.277268639828e-05,4.433287829317e-05,1.520738262217e-06,3,3,1,1.790485575748e-08,1.504659484498e-02,3.841505993252e-06,1.956778347911e-06,9.796912381344e-07,7.256973537303e-07,4.440892098501e-16,2.220446049250e-16,3.330669073875e-16,0.000000000000e+00,4.440892098501e-16
5.000000000000e-05,1.497475481637e+01,1.057023054172e-05,2.057775683831e-05,7.058700240063e-07,3,3,1,3.857601297844e-09,1.504642645275e-02,1.783096299779e-06,9.082724204967e-07,4.547428498203e-07,3.368465759171e-07,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
2.320794416806e-05,1.497475366212e+01,4.906284901589e-06,9.551404125359e-06,3.276371025722e-07,3,3,1,8.311067121163e-10,1.504634829490e-02,8.276458406953e-07,4.215862386969e-07,2.110751866624e-07,1.563519900424e-07,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
1.077217345016e-05,1.497475312636e+01,2.277299706265e-06,4.433381028206e-06,1.520759432257e-07,3,3,1,1.790576838287e-10,1.504631202455e-02,3.841604302446e-07,1.956837574202e-07,9.797290823066e-08,7.257252263720e-08,8.881784197001e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
5.000000000000e-06,1.497475287769e+01,1.057029747310e-06,2.057795763167e-06,7.058745850056e-08,3,3,1,3.857692562238e-11,1.504629524180e-02,1.783117479781e-07,9.082851815112e-08,4.547510057407e-08,3.368525811065e-08,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
2.320794416806e-06,1.497475276226e+01,4.906299319852e-07,9.551447385355e-07,3.276380850985e-08,3,3,1,8.311158386367e-12,1.504628731770e-02,8.276504032123e-08,4.215889870540e-08,2.110769425911e-08,1.563532837923e-08,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
1.077217345016e-06,1.497475270869e+01,2.277302813928e-07,4.433390348520e-07,1.520761549943e-08,11,3,0,1.790585964435e-12,1.504628376094e-02,3.469131498735e-08,1.463999121931e-08,9.797328504035e-09,7.257280144890e-09,4.440892098501e-16,5.465492391998e-08,2.168667057045e-08,0.000000000000e+00,4.440892098501e-16
5.000000000000e-07,1.497475268382e+01,1.057030415700e-07,2.057797771310e-07,7.058750404890e-09,7,3,0,3.857701690912e-13,1.504628204354e-02,2.784998576200e-08,1.307380410875e-08,4.547518361875e-09,3.368531814596e-09,4.440892098501e-16,3.225524736195e-08,1.583493680624e-08,0.000000000000e+00,4.440892098501e-16
2.320794416806e-07,1.497475267228e+01,4.906300770372e-08,9.551451709635e-08,3.276381839317e-09,13,3,0,8.311167519433e-14,1.504628215934e-02,1.212240239440e-08,7.270772095502e-09,2.110771113450e-09,1.563534135496e-09,4.440892098501e-16,1.184680789579e-08,7.062278976899e-09,0.000000000000e+00,4.440892098501e-16
1.077217345016e-07,1.497475266692e+01,2.277303134346e-08,4.433391293857e-08,1.520761768157e-09,2,3,0,1.790586882790e-14,1.504628380585e-02,6.696460646410e-09,4.426329186860e-09,9.797329614258e-10,7.257282899631e-10,8.881784197001e-16,8.912355048407e-09,5.381435035437e-09,0.000000000000e+00,4.440892098501e-16
5.000000000000e-08,1.497475266443e+01,1.057030512043e-08,2.057797960167e-08,7.058751057392e-10,6,3,0,3.857702623009e-15,1.504627135314e-02,5.354562924997e-09,2.164796730764e-09,4.547515697340e-10,3.368532466852e-10,4.440892098501e-16,5.499145458443e-09,1.519964820673e-09,0.000000000000e+00,4.440892098501e-16
2.320794416806e-08,1.497475266328e+01,4.906301049832e-09,9.551452043460e-09,3.276382027907e-10,6,3,0,8.311168361531e-16,1.504629032358e-02,2.485367973926e-09,9.344074194950e-10,2.110769337094e-10,1.563534232640e-10,6.661338147751e-16,2.552477236517e-09,9.237933126793e-10,0.000000000000e+00,4.440892098501e-16
1.077217345016e-08,1.497475266274e+01,2.277303267920e-09,4.433391291234e-09,1.520761857780e-10,2,3,0,1.790587038713e-16,1.504626428703e-02,6.696460833761e-10,2.163398349353e-10,9.797318512028e-11,7.257282969020e-11,6.661338147751e-16,8.912355436985e-10,3.239328805194e-10,0.000000000000e+00,4.440892098501e-16
5.000000000000e-09,1.497475266250e+01,1.057030425942e-09,2.057797852910e-09,7.058750483337e-11,8,3,0,3.857702508800e-17,1.504628900051e-02,2.981730973239e-10,1.791831127917e-10,4.547517917786e-11,3.368532536241e-11,4.440892098501e-16,3.577039775493e-10,2.436663093519e-10,0.000000000000e+00,4.440892098501e-16
2.320794416806e-09,1.497475266238e+01,4.906301452101e-10,9.551451747519e-10,3.276382296735e-11,0,3,0,8.311168491473e-18,1.504629274197e-02,1.799699833605e-10,8.518786370759e-11,2.110733809957e-11,1.563534024474e-11,6.661338147751e-16,1.993971654457e-10,7.903433463241e-11,0.000000000000e+00,4.440892098501e-16
